date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:43:17	173821/173821	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2004:43:22%20GMT	https://rentz.com.br/work	C:/ACNAIS/CANAIS/rentz.com.br/work.html	(from )
01:43:17	65/65	---M--	200	added ('OK')	text/plain	date:Wed,%2015%20Nov%202023%2004:43:23%20GMT	https://rentz.com.br/robots.txt		(from )
01:43:17	173821/173821	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2004:43:23%20GMT	https://rentz.com.br/	C:/ACNAIS/CANAIS/rentz.com.br/index.html	(from https://rentz.com.br/work)
01:43:17	2027/2027	---M--	200	added ('OK')	image/png	etag:8a7e322b70e35392902a6db2512ae79f	https://cdn.myportfolio.com/c8489c04-75f1-4bdc-b062-ae01d51f5d5a/e6d7235b-f26a-45d3-80bb-db671b063bf8_carw_1x1x32.png?h=d1de205fe27907074d14efb179228740	C:/ACNAIS/CANAIS/cdn.myportfolio.com/c8489c04-75f1-4bdc-b062-ae01d51f5d5a/e6d7235b-f26a-45d3-80bb-db671b063bf8_carw_1x1x326cc7.png	(from https://rentz.com.br/work)
01:43:18	11553/11553	---M--	200	added ('OK')	text/css	etag:%22652d817a-2d21%22	https://rentz.com.br/dist/css/main.css	C:/ACNAIS/CANAIS/rentz.com.br/dist/css/main.css	(from https://rentz.com.br/work)
01:43:18	41547/41547	---M--	200	added ('OK')	text/css	etag:f6531e413a40d19520083a55d71b3b86	https://cdn.myportfolio.com/c8489c04-75f1-4bdc-b062-ae01d51f5d5a/1c4f7dab0265f8ef97a7d5a7053e72b31698414657.css?h=839744612a777b4d2f35e89bc619cccf	C:/ACNAIS/CANAIS/cdn.myportfolio.com/c8489c04-75f1-4bdc-b062-ae01d51f5d5a/1c4f7dab0265f8ef97a7d5a7053e72b316984146578a48.css	(from https://rentz.com.br/work)
01:43:18	61502/61502	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2004:43:24%20GMT	https://rentz.com.br/about	C:/ACNAIS/CANAIS/rentz.com.br/about.html	(from https://rentz.com.br/work)
01:43:18	4236/4236	---M--	200	added ('OK')	image/png	etag:18012e730a2c53d45ba899cdc9c33f9d	https://cdn.myportfolio.com/c8489c04-75f1-4bdc-b062-ae01d51f5d5a/c9c0063f-e0d9-409f-8d0d-b8dd64749eaa_rwc_0x0x139x90x4096.png?h=5a4c185a5518a336a5fae978e1229cd3	C:/ACNAIS/CANAIS/cdn.myportfolio.com/c8489c04-75f1-4bdc-b062-ae01d51f5d5a/c9c0063f-e0d9-409f-8d0d-b8dd64749eaa_rwc_0x0x139x90x4096e7d3.png	(from https://rentz.com.br/work)
01:43:20	74752/74752	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2004:43:24%20GMT	https://rentz.com.br/frango-assado	C:/ACNAIS/CANAIS/rentz.com.br/frango-assado.html	(from https://rentz.com.br/work)
01:43:21	2004/2004	---M--	200	added ('OK')	image/png	etag:66928a0b8cb0f13c470201498741d4e6	https://cdn.myportfolio.com/c8489c04-75f1-4bdc-b062-ae01d51f5d5a/9738a0ad-698d-4f9e-ac7b-f4b5791c5ded_rwc_0x0x1244x1656x32.png?h=4c29eca15ceb0741cae470d0bf23e505	C:/ACNAIS/CANAIS/cdn.myportfolio.com/c8489c04-75f1-4bdc-b062-ae01d51f5d5a/9738a0ad-698d-4f9e-ac7b-f4b5791c5ded_rwc_0x0x1244x1656x3218bb.png	(from https://rentz.com.br/work)
